Year,NConstDecisions,NNulls,Age,Tenure,Unified
1934,15,2,69.11111111,12.44444444,1
1935,12,7,70.11111111,13.44444444,1
1936,12,4,71.11111111,14.44444444,1
1937,7,0,70,14,1
1938,7,0,68.5,12.3,1
1939,14,0,64.7,10.9,1
1940,9,0,61,8.555555556,1
1941,10,0,60.54545455,8,1
1942,15,0,57.44444444,6.333333333,1
1943,9,0,57.11111111,7.111111111,1
1944,18,0,58.11111111,8.111111111,1
1945,27,0,58.9,8.3,1
1946,32,1,58.4,7.7,1
1947,38,0,57.66666667,7.111111111,0
1948,32,0,58.66666667,8.111111111,0
1949,26,0,58.72727273,7.636363636,1
1950,33,0,60.11111111,8.444444444,1
1951,24,0,61.11111111,9.444444444,1
1952,23,1,62.11111111,10.44444444,1
1953,19,0,63,10.4,1
1954,15,1,64,11.66666667,1
1955,18,1,64.22222222,11.11111111,1
1956,19,0,63.7,11,1
1957,41,1,63.6,11.2,1
1958,27,1,61.5,10.2,1
1959,23,0,61.55555556,10.77777778,1
1960,37,0,62.55555556,11.77777778,1
1961,29,0,63.55555556,12.77777778,1
1962,41,0,61.81818182,11.45454545,1
1963,41,1,60.88888889,11.66666667,1
1964,26,2,61.88888889,12.66666667,1
1965,29,2,62.1,12.4,1
1966,47,0,63.66666667,14.33333333,1
1967,58,2,64.1,13.9,1
1968,54,4,64.66666667,14.33333333,1
1969,51,2,65.3,13.9,1
1970,55,3,65.11111111,14,1
1971,76,3,66.11111111,15,1
1972,78,2,62,10.22222222,1
1973,72,3,63,11.22222222,1
1974,49,3,64,12.22222222,1
1975,81,1,64,12,1
1976,85,2,63.55555556,10.22222222,1
1977,57,3,64.55555556,11.22222222,1
1978,76,1,65.55555556,12.22222222,1
1979,60,1,66.55555556,13.22222222,1
1980,48,1,67.55555556,14.22222222,1
1981,67,0,66.8,13.8,0
1982,62,2,67.88888889,13.66666667,0
1983,67,3,68.88888889,14.66666667,0
1984,52,2,69.88888889,15.66666667,0
1985,69,1,70.88888889,16.66666667,0
1986,66,1,69.7,16,0
1987,43,1,69.66666667,16.77777778,1
1988,56,1,67.44444444,16,1
1989,57,0,68.44444444,17,1
1990,38,1,67.6,16.3,1
1991,40,2,64.4,13.8,1
1992,28,1,63.33333333,13.55555556,1
1993,25,0,63.9,13.2,1
1994,24,0,62.8,11,1
1995,23,2,61.22222222,10.44444444,1
1996,25,2,62.22222222,11.44444444,1
1997,26,4,63.22222222,12.44444444,0
1998,23,1,64.22222222,13.44444444,0
1999,30,2,65.22222222,14.44444444,0
2000,27,4,66.22222222,15.44444444,0
2001,23,3,67.22222222,16.44444444,0
2002,27,2,68.22222222,17.44444444,0
2003,26,1,69.22222222,18.44444444,1
2004,27,0,70.22222222,19.44444444,1
2005,21,1,69.1,18.5,1
2006,16,0,67.5,16.1,1
2007,18,0,67.55555556,16,0
2008,19,2,68.55555556,17,0
2009,25,0,68.1,16.3,1
2010,22,3,67,15.3,1
2011,26,1,65.44444444,14,0
2012,22,1,66.44444444,15,0
2013,21,3,67.44444444,16,0
2014,18,1,68.44444444,17,0
2015,31,2,69.44444444,18,0
2016,24,2,70.44444444,19,0
2017,21,2,68,16.55555556,1
2018,22,2,67.4,15.9,1
2019,21,3,66.77777778,15.22222222,0
2020,22,2,65.8,14.7,0
2021,20,2,64.44444444,14.22222222,1
