caseid,wt2,wt2a,knowledge,sex,race,age,female,white,oftenvote,conservative,prayfreq,heterosexual,married,yrsofschool,income,speaker,vp,pm,cj
2179,2.4054999,232918.373633,2,1,1,37,0,1,3,6,4,1,1,17,18,1,0,0,1
2180,2.4054999,232918.373633,3,2,1,37,1,1,4,1,3,1,1,16,1,1,1,1,0
2181,.62180001,60212.394203,3,2,1,52,1,1,3,1,5,1,1,16,5,1,1,0,1
2182,2.0309999,196659.528423,4,2,1,59,1,1,3,6,5,1,1,14,13,1,1,1,1
2183,2.8968,280498.58566,2,2,1,47,1,1,3,2,4,1,1,17,18,1,1,0,0
2184,2.4956999,241660.21741,3,1,1,70,0,1,1,6,4,1,1,12,12,1,1,0,1
2186,.75760001,73362.041591,0,1,1,25,0,1,1,2,2,1,1,12,12,0,0,0,0
2188,.75999999,73592.68005900001,2,1,2,46,0,0,3,4,5,1,1,12,12,0,1,1,0
2189,.72549999,70246.69931,1,2,2,47,1,0,4,5,5,1,0,13,13,0,1,0,0
2190,.75760001,73362.041591,0,1,4,23,0,0,1,5,2,1,0,12,14,0,0,0,0
2191,.66460001,64357.268856,0,2,2,52,1,0,4,1,5,1,0,11,11,0,0,0,0
2195,.57249999,55435.503745,0,2,2,32,1,0,2,3,4,1,0,10,7,0,0,0,0
2196,1.1269,109119.237328,1,2,1,77,1,1,3,5,5,1,0,14,10,0,1,0,0
2198,.8876,85945.02277900001,2,2,1,46,1,1,3,2,4,0,0,17,13,1,1,0,0
2199,.90719998,87844.202949,2,2,1,22,1,1,2,6,3,1,0,16,13,0,1,0,1
2200,.72320002,70026.547101,0,2,1,21,1,1,1,2,2,1,0,15,3,0,0,0,0
2201,1.135,109899.786557,0,2,1,26,1,1,3,2,4,1,0,16,12,0,0,0,0
2202,1.7329,167795.163818,0,1,1,48,0,1,4,3,1,0,0,16,13,0,0,0,0
2204,.90549999,87681.960272,4,1,1,27,0,1,3,1,1,1,0,17,16,1,1,1,1
2205,1.3762,133254.869686,3,2,1,64,1,1,4,2,3,1,1,17,18,0,1,1,1
2206,.63330001,61317.039677,2,2,1,55,1,1,3,5,4,1,1,16,20,1,1,0,0
2207,.69800001,67585.81277800001,2,2,2,23,1,0,3,4,4,1,0,16,8,1,1,0,0
2208,1.199,116095.71439,0,1,1,32,0,1,3,4,4,1,0,14,13,0,0,0,0
2209,1.9342999,187295.752851,2,2,1,28,1,1,1,3,2,1,0,12,13,1,1,0,0
2212,.36160001,35013.27355,3,2,1,28,1,1,4,3,3,1,0,15,15,0,1,1,1
2213,1.1113,107603.505215,4,1,1,27,0,1,3,3,2,1,1,13,14,1,1,1,1
2214,1.7627,170677.24825,3,1,1,26,0,1,4,6,2,1,0,14,13,1,1,0,1
2215,2.0143001,195042.252086,2,2,1,30,1,1,3,4,5,1,0,12,7,0,1,1,0
2216,1.8388,178053.527832,2,2,4,63,1,0,4,4,4,1,0,15,6,1,1,0,0
2217,2.3996,232352.71608,3,1,1,75,0,1,3,6,1,1,1,15,15,1,1,0,1
2219,2.4258001,234885.187461,1,2,1,40,1,1,4,4,4,0,1,12,4,0,1,0,0
2221,1.0947,105999.340654,1,1,1,64,0,1,3,5,5,1,1,14,12,0,1,0,0
2224,2.4168,234020.078242,1,2,1,56,1,1,3,4,5,1,1,17,16,0,1,0,0
2225,2.0237999,195964.802525,2,1,1,50,0,1,1,7,1,1,1,12,22,1,1,0,0
2226,2.7553999,266799.530047,1,2,1,42,1,1,4,1,5,0,0,16,15,0,1,0,0
2227,1.9318,187055.024321,0,2,1,50,1,1,3,4,5,1,0,13,4,0,0,0,0
2229,2.3073001,223413.809671,0,1,1,41,0,1,1,5,5,1,1,12,17,0,0,0,0
2230,1.0118999,97982.40126300001,2,1,1,59,0,1,2,4,4,1,0,12,7,1,1,0,0
2231,1.1956,115765.949628,2,2,1,77,1,1,4,6,4,1,0,12,14,1,1,0,0
2232,1.1956,115765.949628,1,2,1,73,1,1,3,5,4,1,0,12,21,0,1,0,0
2234,2.3073001,223413.809671,1,2,1,48,1,1,3,4,5,1,0,12,11,0,1,0,0
2236,1.1440001,110771.525779,0,1,1,37,0,1,3,2,3,0,0,17,15,0,0,0,0
2238,.5729,55470.714712,2,1,1,22,0,1,2,4,3,1,0,12,14,0,0,1,1
2239,.71509999,69247.31355000001,0,2,1,72,1,1,2,4,5,1,0,2,7,0,0,0,0
2240,.5977,57876.889619,3,2,4,44,1,0,4,1,4,1,1,12,7,1,1,0,1
2243,2.0309999,196659.528423,1,2,1,51,1,1,2,4,1,1,0,14,4,0,1,0,0
2244,2.1277001,206026.786996,2,1,1,61,0,1,3,3,5,1,1,12,25,1,1,0,0
2248,1.4484,140249.755721,2,2,1,42,1,1,4,6,4,1,1,17,15,1,1,0,0
2250,.75999999,73592.68005900001,3,1,2,41,0,0,1,4,3,1,1,12,18,1,1,0,1
2252,.5977,57876.889619,0,1,1,46,0,1,1,4,4,1,0,12,13,0,0,0,0
2256,2.2843001,221182.215911,3,2,1,67,1,1,3,6,5,1,1,9,9,1,1,0,1
2257,.75999999,73592.68005900001,1,1,2,39,0,0,2,4,5,1,1,12,13,0,1,0,0
2260,1.4484,140249.755721,2,1,1,49,0,1,3,6,5,1,1,17,25,1,1,0,0
2261,1.1576999,112103.293292,1,2,1,43,1,1,3,4,5,1,1,15,13,0,1,0,0
2262,1.2027,116459.571189,2,1,1,39,0,1,3,7,5,1,0,16,15,1,1,0,0
2264,.9242,89488.096089,2,1,2,25,0,0,2,2,3,1,1,13,9,0,1,1,0
2266,1.0639,103013.733492,0,1,1,50,0,1,1,4,5,1,0,12,15,0,0,0,0
2268,2.9609001,286696.935889,2,2,1,26,1,1,3,4,1,1,1,13,3,1,1,0,0
2269,.62959999,60966.896175,1,1,2,36,0,0,3,5,3,1,0,12,14,0,1,0,0
2272,1.7627,170677.24825,2,1,1,27,0,1,3,6,4,1,0,16,17,1,1,0,0
2274,2.3155,224205.846596,3,2,1,39,1,1,3,2,2,1,0,13,6,0,1,1,1
2276,1.432,138661.639181,3,2,1,39,1,1,4,6,5,1,0,17,15,1,1,0,1
2277,3.7042999,358679.696587,1,1,4,24,0,0,3,1,1,1,0,17,1,0,1,0,0
2278,.60100001,58194.962053,1,2,2,32,1,0,3,4,5,1,0,14,4,0,1,0,0
2280,.73570001,71234.59314300001,3,1,4,34,0,0,1,2,4,1,0,17,24,0,1,1,1
2281,.42309999,40969.238048,2,2,2,43,1,0,3,5,5,1,0,17,19,1,1,0,0
2282,.74000001,71655.72080700001,2,1,2,53,0,0,3,3,4,1,1,16,22,1,1,0,0
