caseid,wt2,wt2a,knowledge,sex,race,age,female,white,oftenvote,conservative,prayfreq,heterosexual,married,yrsofschool,income,speaker,vp,pm,cj
173,.44600001,43186.007123,1,2,4,65,1,0,4,6,3,1,1,15,10,1,0,0,0
176,2.3004999,222758.520739,3,2,1,60,1,1,4,2,2,0,0,17,23,1,1,0,1
178,2.4068999,233060.473957,1,2,1,40,1,1,3,3,4,1,0,16,16,0,1,0,0
180,2.4944,241529.09015,2,1,1,75,0,1,4,6,5,1,1,17,6,1,1,0,0
181,2.0888,202252.733232,3,1,1,85,0,1,4,5,4,1,1,12,7,1,1,0,1
183,.89840001,86988.598591,2,1,4,27,0,0,3,3,5,1,0,10,5,1,1,0,0
184,.89840001,86988.598591,0,1,4,20,0,0,1,3,4,1,0,11,6,0,0,0,0
185,2.9609001,286696.935889,1,2,4,20,1,0,1,3,2,1,0,14,1,0,1,0,0
186,1.4285001,138324.80458,1,2,1,72,1,1,1,4,5,1,0,14,6,0,1,0,0
189,.88599998,85786.287767,4,2,1,46,1,1,4,6,4,1,1,16,4,1,1,1,1
190,.47130001,45637.830566,0,1,4,32,0,0,2,4,3,1,1,13,19,0,0,0,0
192,.55800003,54028.983197,4,2,1,61,1,1,4,6,5,1,1,16,17,1,1,1,1
193,1.9873,192424.983445,2,1,4,32,0,0,3,3,4,0,0,17,13,0,1,0,1
194,1.3216,127971.777831,0,1,1,72,0,1,4,6,2,1,1,14,12,0,0,0,0
195,1.059,102538.381119,3,1,1,34,0,1,1,4,2,1,1,13,25,0,1,1,1
196,1.5955,154488.844769,4,1,1,46,0,1,3,5,3,1,1,17,22,1,1,1,1
197,.77710003,75246.436048,4,1,4,56,0,0,1,4,3,1,1,17,15,1,1,1,1
198,1.2671,122687.629424,3,1,1,61,0,1,2,5,4,1,1,17,24,1,1,0,1
200,.62110001,60145.368854,2,1,1,55,0,1,3,4,5,1,0,14,3,1,0,1,0
201,1.0326999,99994.939341,0,1,1,20,0,1,1,5,1,1,0,12,8,0,0,0,0
202,.70819998,68569.997349,2,1,4,45,0,0,4,7,5,1,1,15,21,1,1,0,0
203,1.0768,104265.502342,1,2,1,46,1,1,2,3,4,1,1,12,8,0,1,0,0
204,.70359999,68127.354431,2,2,1,65,1,1,3,4,3,1,0,16,19,1,1,0,0
205,.88599998,85786.287767,3,1,1,41,0,1,4,6,1,1,0,16,25,0,1,1,1
207,.73390001,71061.59526,1,1,1,70,0,1,4,3,3,1,0,14,25,0,1,0,0
209,.92250001,89323.937781,2,1,1,68,0,1,3,6,2,1,1,16,18,1,1,0,0
211,.73390001,71061.59526,3,2,1,77,1,1,3,6,3,1,0,14,17,1,1,0,1
213,.68260002,66097.767064,1,2,4,18,1,0,1,2,1,1,0,12,1,1,0,0,0
214,1.1586,112182.894619,0,1,4,40,0,0,4,4,4,1,1,16,11,0,0,0,0
215,.3087,29893.156794,0,1,4,50,0,0,4,6,2,1,1,6,13,0,0,0,0
216,.36160001,35013.27355,0,2,4,27,1,0,4,4,3,1,1,13,9,0,0,0,0
219,.48590001,47053.859624,1,2,2,48,1,0,2,2,4,1,0,13,13,0,0,0,1
220,.75760001,73362.041591,0,1,4,18,0,0,1,4,2,1,0,12,2,0,0,0,0
221,.48590001,47053.859624,0,2,2,41,1,0,4,2,4,0,0,14,16,0,0,0,0
222,.74190003,71836.11367000001,0,2,1,43,1,1,4,4,3,1,1,12,6,0,0,0,0
223,.28529999,27623.004564,1,2,4,46,1,0,3,6,3,1,1,13,11,0,1,0,0
225,.2357,22819.147713,3,1,4,36,0,0,4,2,2,1,1,13,18,1,1,0,1
230,.28529999,27623.004564,3,2,4,44,1,0,4,6,4,1,0,13,18,1,1,1,0
232,.4463,43218.160508,0,1,2,57,0,0,4,1,1,1,1,14,16,0,0,0,0
233,.74190003,71836.11367000001,3,1,1,44,0,1,1,3,2,1,0,12,16,1,1,0,1
236,.88599998,85786.287767,4,1,1,49,0,1,4,4,5,1,1,16,18,1,1,1,1
237,.73390001,71061.59526,2,1,1,75,0,1,4,6,5,1,1,13,17,1,1,0,0
238,.77090001,74643.708302,3,2,1,40,1,1,1,4,1,1,1,16,2,0,1,1,1
239,.56239998,54455.002476,2,2,1,59,1,1,4,6,3,1,1,14,15,1,1,0,0
240,.56239998,54455.002476,2,2,1,64,1,1,4,4,3,1,0,14,13,1,1,0,0
241,.90549999,87681.960272,0,2,1,19,1,1,1,2,1,0,0,13,4,0,0,0,0
242,.4483,43408.109359,2,1,4,44,0,0,4,7,5,1,1,12,14,1,1,0,0
243,.70359999,68127.354431,4,1,1,68,0,1,4,6,5,1,1,17,12,1,1,1,1
245,.62110001,60145.368854,0,1,1,55,0,1,3,5,4,1,1,14,18,0,0,0,0
246,.67860001,65707.07608499999,2,1,1,26,0,1,3,6,5,1,0,16,2,1,1,0,0
247,.77090001,74643.708302,1,2,1,49,1,1,3,3,3,1,1,15,18,0,1,0,0
248,.88599998,85786.287767,1,1,1,47,0,1,3,5,3,1,1,17,21,0,1,0,0
249,.91170001,88274.359385,2,1,1,90,0,1,4,6,5,1,1,8,19,1,1,0,0
253,1.1069,107180.951888,2,1,1,54,0,1,3,7,5,1,1,13,13,1,1,0,0
254,1.9737,191113.921885,0,1,4,47,0,0,4,4,1,1,1,13,14,0,0,0,0
255,.76880002,74446.391017,2,2,1,75,1,1,4,6,5,1,0,12,13,1,1,0,0
257,1.6188999,156760.944035,3,2,1,27,1,1,3,2,4,1,0,17,16,1,1,1,0
258,.37490001,36305.946831,3,1,2,54,0,0,4,4,2,1,0,12,11,1,1,1,0
260,.3418,33095.586448,1,1,4,50,0,0,1,5,1,1,1,12,13,0,0,1,0
261,.588,56938.655234,4,2,1,33,1,1,2,4,4,1,0,14,16,1,1,1,1
263,.4483,43408.109359,1,1,4,43,0,0,2,4,4,1,1,12,15,1,0,0,0
265,.62110001,60145.368854,1,1,1,56,0,1,4,7,5,1,1,14,22,0,1,0,0
266,.2604,25210.721696,1,1,1,53,0,1,1,4,3,1,0,12,9,1,0,0,0
267,.29890001,28938.44481,3,2,4,42,1,0,3,4,3,1,0,12,11,1,0,1,1
271,1.1064,107133.97989,3,1,1,29,0,1,2,4,1,1,0,12,13,0,1,1,1
272,2.5409,246036.044184,3,2,1,53,1,1,4,2,5,1,1,16,5,0,1,1,1
274,1.3456,130288.577593,2,2,1,29,1,1,4,2,1,1,0,16,17,1,1,0,0
275,1.3968,135253.823593,4,2,1,37,1,1,3,2,2,1,0,15,1,1,1,1,1
276,.66460001,64357.268856,3,1,2,53,0,0,4,4,4,0,0,12,13,1,1,1,0
277,1.3456,130288.577593,4,1,1,23,0,1,3,2,1,1,0,16,18,1,1,1,1
278,.62959999,60966.896175,2,1,2,33,0,0,1,5,1,1,0,11,1,0,1,1,0
279,1.4755,142871.149229,4,1,1,52,0,1,4,2,1,1,1,16,25,1,1,1,1
281,.92299998,89371.343118,2,2,1,54,1,1,1,2,2,1,0,17,13,1,1,0,0
282,.838,81143.13484899999,2,1,1,34,0,1,4,2,1,0,0,16,18,1,1,0,0
283,.58939999,57069.75559,3,1,1,80,0,1,4,4,3,1,0,15,9,1,1,0,1
286,.3863,37407.189499,1,1,4,37,0,0,4,2,2,0,0,16,17,0,0,0,1
287,.88599998,85786.287767,4,1,1,48,0,1,4,4,3,0,0,17,20,1,1,1,1
288,.3863,37407.189499,4,2,1,38,1,1,3,3,2,1,0,16,14,1,1,1,1
289,2.4054999,232918.373633,3,1,1,32,0,1,4,2,1,1,0,16,13,1,1,1,0
291,.27900001,27014.491599,2,1,4,60,0,0,1,4,5,0,0,17,13,1,1,0,0
294,2.4401,236274.699887,3,2,1,25,1,1,4,1,2,0,0,16,9,1,1,0,1
299,.27610001,26738.345771,0,1,2,42,0,0,1,4,4,1,0,12,19,0,0,0,0
301,1.1329,109696.808614,0,2,4,23,1,0,1,4,2,1,0,16,3,0,0,0,0
303,.3955,38291.861971,0,2,2,23,1,0,1,4,5,1,0,14,8,0,0,0,0
304,.3788,36681.020796,0,2,4,19,1,0,1,4,3,1,0,12,3,0,0,0,0
305,.70819998,68569.997349,0,2,4,48,1,0,1,2,4,1,0,13,8,0,0,0,0
306,.31040001,30058.488575,0,2,2,45,1,0,4,7,5,1,0,16,7,0,0,0,0
307,.90549999,87681.960272,0,2,1,26,1,1,2,2,2,1,0,13,11,0,0,0,0
309,.94870001,91858.414882,0,1,1,21,0,1,1,3,1,1,0,12,13,0,0,0,0
311,.45930001,44477.433271,0,2,6,25,1,0,4,2,3,1,0,13,16,0,0,0,0
313,.63120002,61114.877526,0,2,2,26,1,0,3,2,5,1,1,17,19,0,0,0,0
315,.90549999,87681.960272,0,2,1,25,1,1,4,6,5,1,1,16,18,0,0,0,0
316,.616,59650.749129,0,2,1,34,1,1,3,6,3,1,1,12,14,0,0,0,0
321,.4149,40172.841776,0,2,2,44,1,0,3,4,3,1,1,12,11,0,0,0,0
323,.62669998,60682.410673,0,2,2,18,1,0,1,4,4,1,0,12,1,0,0,0,0
324,.93559998,90597.156388,2,2,1,45,1,1,3,2,4,1,0,16,21,1,1,0,0
325,1.4957,144830.763402,2,1,1,45,0,1,4,2,2,1,1,15,14,1,1,0,0
327,.95630002,92599.137623,3,2,1,23,1,1,4,2,4,1,1,15,1,1,1,0,1
328,.472,45708.099713,2,2,4,33,1,0,3,2,4,1,0,17,19,1,1,0,0
330,.85479999,82769.201919,3,1,1,31,0,1,4,2,1,1,1,17,18,1,1,0,1
333,.80360001,77814.238826,2,1,1,55,0,1,4,4,2,1,0,14,20,0,1,0,1
334,.616,59650.749129,0,1,1,38,0,1,2,4,4,1,1,12,25,0,0,0,0
336,.73570001,71234.59314300001,2,2,1,36,1,1,3,5,1,1,1,16,1,1,1,0,0
337,.77710003,75246.436048,2,1,1,57,0,1,4,2,4,1,1,16,17,1,1,0,0
338,.70359999,68127.354431,3,2,1,60,1,1,3,6,4,1,1,16,9,1,1,1,0
339,.83770001,81117.123796,1,1,1,44,0,1,4,4,3,1,0,13,18,0,1,0,0
340,.588,56938.655234,1,2,1,34,1,1,1,2,1,1,1,13,1,0,1,0,0
341,.88599998,85786.287767,3,1,1,46,0,1,3,6,5,1,1,16,25,1,1,0,1
342,.33790001,32717.466053,2,2,1,52,1,1,3,4,4,1,1,16,9,1,1,0,0
343,.58969998,57096.401011,3,1,4,31,0,0,4,3,4,1,1,16,17,1,1,1,0
344,3.0021,290690.939707,3,1,1,80,0,1,4,4,1,1,1,16,18,1,1,1,0
345,1.4857,143858.630403,3,2,1,67,1,1,4,5,4,1,1,14,3,1,1,0,1
346,.73390001,71061.59526,3,1,1,70,0,1,1,6,2,1,1,14,11,1,1,1,0
347,.86470002,83727.421911,4,2,1,58,1,1,4,2,4,1,1,12,16,1,1,1,1
348,1.7294,167454.843823,0,1,1,57,0,1,4,6,5,1,1,12,13,0,0,0,0
349,1.4981,145063.095069,2,2,1,29,1,1,3,1,5,0,0,12,7,1,1,0,0
350,1.6164,156509.79666,0,1,1,18,0,1,1,3,5,1,0,12,3,0,0,0,0
354,.65069997,63010.204474,2,2,1,54,1,1,3,5,5,1,1,12,8,1,1,0,0
355,.73570001,71234.59314300001,4,2,1,30,1,1,3,2,1,1,0,17,13,1,1,1,1
357,.73570001,71234.59314300001,2,1,1,35,0,1,3,5,4,1,1,17,17,1,1,0,0
359,.588,56938.655234,1,1,1,36,0,1,3,4,2,1,1,14,16,0,1,0,0
360,.27900001,27014.491599,3,1,1,67,0,1,4,2,4,1,0,17,17,1,1,0,1
361,.30000001,29048.012072,2,2,1,32,1,1,4,6,4,1,1,13,1,0,1,0,1
362,.88599998,85786.287767,3,2,1,41,1,1,3,5,4,1,1,17,1,1,1,0,1
364,.30000001,29048.012072,1,1,1,33,0,1,1,2,3,1,1,14,17,0,1,0,0
365,.62110001,60145.368854,2,1,1,56,0,1,4,5,3,1,1,14,18,1,0,0,1
366,.70569998,68335.515908,2,2,1,34,1,1,3,6,2,1,1,14,20,1,1,0,0
367,1.1386,110244.826569,0,1,1,23,0,1,4,2,1,1,1,12,14,0,0,0,0
368,.84990001,82294.991432,2,2,1,49,1,1,3,3,5,1,0,13,8,1,1,0,0
369,.616,59650.749129,3,1,1,31,0,1,2,4,4,1,0,12,14,0,1,1,1
370,1.0868,105232.411379,3,1,1,19,0,1,4,5,5,1,1,14,5,0,1,1,1
371,.70709997,68467.701739,4,1,1,67,0,1,2,4,3,1,1,12,14,1,1,1,1
373,.90549999,87681.960272,4,2,1,28,1,1,1,2,1,1,0,14,16,1,1,1,1
374,.50040001,48451.908412,0,2,4,23,1,0,1,3,5,1,1,11,12,0,0,0,0
375,.56239998,54455.002476,3,1,1,60,0,1,4,7,2,1,1,15,14,1,1,0,1
376,.77160001,74713.97012899999,0,1,1,54,0,1,1,4,4,1,0,11,16,0,0,0,0
377,.9181,88903.46647,4,2,1,74,1,1,4,2,1,1,0,17,8,1,1,1,1
379,.39480001,38224.750759,4,2,4,48,1,0,3,4,5,1,0,12,13,1,1,1,1
382,.82520002,79899.710068,3,1,1,50,0,1,2,6,5,1,0,12,3,1,1,0,1
383,.90549999,87681.960272,1,1,1,23,0,1,4,2,1,0,0,15,7,0,1,0,0
386,.29890001,28938.44481,4,1,4,40,0,0,1,4,2,1,0,12,8,1,1,1,1
389,.62110001,60145.368854,3,2,4,50,1,0,3,6,4,1,0,14,8,0,1,1,1
391,.3788,36681.020796,2,2,4,23,1,0,1,4,3,0,0,11,1,0,1,0,1
392,.35600001,34475.598714,3,1,4,45,0,0,4,3,5,1,1,12,11,1,1,0,1
393,.3087,29893.156794,3,1,4,58,0,0,1,4,4,1,0,9,5,1,0,1,1
394,.37040001,35866.79163,4,2,4,56,1,0,4,2,1,1,1,17,13,1,1,1,1
395,.9181,88903.46647,4,2,1,70,1,1,3,2,2,1,0,16,16,1,1,1,1
398,.74190003,71836.11367000001,0,1,1,49,0,1,4,5,4,1,1,12,17,0,0,0,0
399,.73570001,71234.59314300001,2,2,1,38,1,1,2,3,3,1,0,16,19,1,1,0,0
400,.57870001,56031.612867,2,1,1,27,0,1,4,3,1,1,0,16,15,1,1,0,0
401,1.1329,109696.808614,2,2,1,28,1,1,2,4,5,1,1,16,7,1,1,0,0
404,.98610002,95478.46934700001,2,1,1,43,0,1,1,4,5,1,1,13,13,1,1,0,0
405,.88599998,85786.287767,3,1,1,49,0,1,3,2,3,1,1,16,16,1,1,0,1
408,.77710003,75246.436048,4,2,1,55,1,1,3,6,5,1,0,16,17,1,1,1,1
410,1.5027,145507.03734,0,1,1,57,0,1,3,4,3,1,1,14,17,0,0,0,0
411,1.0717,103769.490613,2,1,1,45,0,1,3,3,2,1,0,16,14,1,1,0,0
412,1.3704,132692.324706,2,2,1,24,1,1,3,3,5,1,0,17,2,1,1,0,0
413,1.7798001,172334.708422,2,2,1,39,1,1,4,2,3,1,1,17,16,1,1,0,0
415,.588,56938.655234,2,2,1,38,1,1,1,4,3,1,0,15,11,0,1,0,1
417,.3788,36681.394423,2,2,4,23,1,0,1,4,2,1,0,12,1,0,0,1,1
418,.29890001,28938.739573,3,1,4,43,0,0,2,6,4,1,1,12,6,1,1,0,1
420,.90549999,87681.960272,2,2,1,29,1,1,3,6,5,1,1,15,1,0,1,0,1
421,.2485,24064.240442,3,2,1,58,1,1,3,6,5,1,0,14,8,1,1,0,1
423,1.9715,190897.095492,1,1,1,20,0,1,1,6,4,1,0,14,3,0,1,0,0
424,.56239998,54455.002476,4,2,1,61,1,1,3,7,3,1,1,14,12,1,1,1,1
425,1.9715,190897.095492,2,1,1,22,0,1,2,4,2,1,0,15,3,0,1,0,1
426,1.0326999,99997.495738,2,1,1,42,0,1,2,3,3,1,0,12,12,0,1,0,1
428,.588,56938.655234,1,1,1,30,0,1,2,4,1,1,1,13,17,0,1,0,0
429,.58920002,57048.795377,3,1,1,68,0,1,4,6,4,1,1,12,4,1,1,0,1
430,1.1329,109696.808614,3,2,1,25,1,1,2,3,2,1,0,16,12,0,1,1,1
431,.62110001,60145.368854,4,2,1,53,1,1,3,5,2,1,0,13,4,1,1,1,1
432,.2485,24064.240442,2,1,1,57,0,1,3,3,5,1,0,15,14,0,1,0,1
434,.29480001,28548.200506,0,1,1,30,0,1,1,6,4,1,1,16,15,0,0,0,0
435,.70359999,68127.354431,3,2,1,68,1,1,4,2,3,1,0,17,10,1,1,0,1
436,.94870001,91858.414882,2,1,1,22,0,1,2,4,4,1,1,12,14,0,0,1,1
437,.74190003,71836.11367000001,2,2,1,40,1,1,3,6,5,1,1,12,8,0,1,0,1
438,.76880002,74446.391017,2,2,1,80,1,1,4,4,2,1,0,12,6,0,1,0,1
440,.588,56938.655234,2,2,1,37,1,1,1,2,1,1,0,14,12,0,1,1,0
441,.2357,22818.915283,1,2,1,39,1,1,1,4,1,1,0,16,15,0,0,1,0
446,1.2901,124918.356372,2,2,1,45,1,1,4,3,4,1,0,16,14,0,1,0,1
447,1.2901,124918.356372,3,2,1,56,1,1,4,2,4,1,1,15,1,1,1,1,0
449,2.9609001,286696.935889,1,2,1,19,1,1,4,2,5,1,0,13,2,0,1,0,0
450,2.2546999,218319.644926,1,2,1,19,1,1,4,2,2,1,0,13,1,0,1,0,0
451,.89840001,86988.598591,1,1,4,18,0,0,1,3,3,1,0,11,1,0,1,0,0
453,1.2510999,121142.944698,3,2,1,32,1,1,1,3,2,1,1,16,21,1,1,0,1
454,1.3216,127965.563341,3,1,1,53,0,1,1,4,1,1,1,16,25,1,1,1,0
457,.44389999,42978.890874,0,2,1,20,1,1,2,4,3,1,0,12,7,0,0,0,0
459,.89840001,86988.598591,0,1,4,18,0,0,1,2,2,1,0,7,1,0,0,0,0
460,.61739999,59786.313587,1,2,1,59,1,1,4,4,4,1,1,5,13,0,1,0,0
467,.72549999,70246.69931,2,2,2,46,1,0,2,4,5,1,1,14,13,1,1,0,0
470,.63749999,61726.806717,0,1,4,18,0,0,1,3,3,1,0,12,1,0,0,0,0
471,.3087,29893.156794,0,1,6,53,0,0,1,6,5,1,0,9,1,0,0,0,0
472,.76880002,74446.391017,3,2,1,72,1,1,4,2,4,1,0,12,11,1,1,0,1
478,.66829997,64712.562996,1,1,2,29,0,0,1,3,3,1,0,14,13,0,1,0,0
479,.3788,36681.020796,2,2,4,21,1,0,1,4,3,1,0,10,7,0,1,1,0
483,.65069997,63010.204474,2,1,4,57,0,0,4,4,5,1,0,12,9,0,1,1,0
484,.2278,22059.843205,1,2,2,52,1,0,1,7,5,1,0,12,1,0,1,0,0
485,.48750001,47207.615174,3,1,2,63,0,0,1,3,2,1,0,9,4,1,1,0,1
495,.71619999,69352.38015,0,2,2,66,1,0,4,3,4,1,0,16,14,0,0,0,0
498,1.148,111164.185464,2,2,2,26,1,0,2,5,1,1,0,9,7,0,0,1,1
499,.92470002,89534.57300999999,0,2,2,74,1,0,1,4,5,1,0,10,6,0,0,0,0
501,.7112,68861.622304,0,2,2,60,1,0,4,7,3,1,0,11,1,0,0,0,0
504,.72549999,70246.69931,0,2,2,49,1,0,4,5,3,1,0,13,16,0,0,0,0
506,1.3225,128059.880925,1,1,1,78,0,1,4,5,5,1,0,9,4,0,1,0,0
509,.62959999,60966.896175,0,1,2,35,0,0,3,6,5,1,0,12,1,0,0,0,0
510,.79390001,76872.55766999999,1,2,2,25,1,0,4,4,3,1,0,13,13,0,0,1,0
512,.75999999,73592.68005900001,0,1,2,48,0,0,4,2,3,1,1,12,14,0,0,0,0
513,.51520002,49887.574247,0,1,2,69,0,0,4,6,2,1,0,12,6,0,0,0,0
514,.57249999,55434.180063,0,2,2,61,1,0,2,4,5,1,1,13,13,0,0,0,0
515,.55800003,54028.983197,2,2,4,69,1,0,4,3,5,1,0,17,15,1,1,0,0
516,1.4827,143571.081738,2,1,1,47,0,1,3,5,1,1,0,17,25,1,1,0,0
517,.9048,87608.542411,0,2,1,26,1,1,3,2,2,1,0,17,10,0,0,0,0
518,1.2312,119217.509709,2,2,1,38,1,1,3,4,2,1,0,16,19,1,1,0,0
519,3.7042999,358679.696587,1,2,1,23,1,1,4,7,5,1,0,16,7,0,1,0,0
520,2.3155,224205.846596,3,1,1,46,0,1,3,5,2,1,0,14,19,1,1,1,0
521,1.8388,178053.527832,0,2,1,63,1,1,3,4,3,1,0,14,12,0,0,0,0
522,.75190002,72806.328632,0,2,2,40,1,0,2,3,2,1,1,17,16,0,0,0,0
524,1.7746,171830.382262,0,2,1,86,1,1,4,3,4,1,0,12,6,0,0,0,0
528,.55150002,53406.04736,1,1,2,50,0,0,4,6,5,1,0,13,12,0,1,0,0
529,.52249998,50592.590431,2,1,2,31,0,0,1,3,2,1,1,15,11,0,1,0,1
530,.55150002,53406.04736,3,2,2,54,1,0,1,2,3,1,1,14,14,1,1,1,0
531,.76880002,74446.391017,1,2,1,72,1,1,4,4,5,1,0,12,9,0,1,0,0
533,.86500001,83756.874406,1,2,1,63,1,1,3,6,4,1,1,12,1,0,1,0,0
534,1.9942,193096.985283,2,2,1,25,1,1,1,2,1,1,0,13,14,1,0,0,1
535,.95539999,92509.188801,3,1,1,58,0,1,3,3,1,1,1,12,24,1,1,1,0
536,.65069997,63010.204474,3,2,1,56,1,1,4,4,5,1,0,12,12,0,1,1,1
538,.52069998,50420.929812,3,1,1,53,0,1,2,6,2,1,1,12,13,1,1,1,0
539,.75760001,73362.041591,0,2,1,27,1,1,4,7,5,1,1,12,1,0,0,0,0
540,.9048,87609.02920800001,1,2,1,37,1,1,4,6,5,1,1,12,13,0,1,0,0
541,1.1413,110514.407779,0,1,1,59,0,1,3,6,3,1,1,16,10,0,0,0,0
543,.73390001,71061.59526,0,2,1,77,1,1,2,5,5,1,0,13,6,0,0,0,0
544,.86360002,83625.778089,0,2,1,32,1,1,1,4,1,1,1,14,1,0,0,0,0
545,.5266,50993.225688,3,2,4,49,1,0,3,4,5,1,0,14,14,1,1,1,0
546,1.6521,159971.58146,0,1,1,29,0,1,1,5,2,1,0,11,12,0,0,0,0
547,.70819998,68569.997349,2,1,1,41,0,1,2,5,5,1,0,15,13,0,1,0,1
548,1.6639,161111.654929,0,2,1,25,1,1,1,4,1,0,0,17,14,0,0,0,0
549,.9048,87609.02920800001,0,1,1,33,0,1,1,7,1,1,1,11,11,0,0,0,0
550,1.8235,176570.521523,1,2,1,48,1,1,4,4,3,1,1,15,3,0,1,0,0
552,.96539998,93482.558538,2,2,1,66,1,1,4,5,4,1,0,16,16,0,1,0,1
554,1.1993001,116126.199229,3,1,1,65,0,1,4,4,3,1,1,11,9,0,1,1,1
555,1.4909,144361.552081,0,2,1,28,1,1,1,6,5,0,1,13,9,0,0,0,0
558,.94870001,91858.414882,0,2,1,26,1,1,3,4,2,0,0,12,4,0,0,0,0
559,1.5142,146619.344294,2,2,1,32,1,1,1,4,4,1,0,14,15,0,1,0,1
561,.37259999,36078.805874,3,2,2,42,1,0,4,6,4,1,0,12,3,0,1,1,1
564,.58920002,57048.795377,0,1,1,63,0,1,4,6,5,1,1,12,15,0,0,0,0
565,.70819998,68569.997349,0,1,1,45,0,1,4,7,2,1,1,13,14,0,0,0,0
568,.77710003,75246.436048,0,1,1,58,0,1,1,4,5,1,0,17,8,0,0,0,0
570,.56239998,54455.002476,0,2,1,60,1,1,4,6,3,1,0,14,16,0,0,0,0
572,1.3977,135336.053305,4,1,1,45,0,1,2,6,5,1,1,12,15,1,1,1,1
573,.58969998,57096.401011,0,1,4,36,0,0,4,3,5,1,1,17,18,0,0,0,0
575,.75760001,73362.041591,0,1,4,23,0,0,1,4,2,1,1,12,14,0,0,0,0
576,1.1329,109696.808614,0,1,1,24,0,1,2,3,1,1,0,16,17,0,0,0,0
577,1.1329,109696.808614,0,2,1,25,1,1,3,3,1,0,0,16,5,0,0,0,0
579,.616,59650.749129,0,1,1,36,0,1,1,4,2,1,0,12,17,0,0,0,0
582,.384,37185.088396,0,2,1,19,1,1,1,5,3,1,0,13,2,0,0,0,0
583,.33970001,32894.113119,0,2,2,75,1,0,4,3,5,1,0,13,9,0,0,0,0
585,.42500001,41153.040149,1,2,2,76,1,0,4,2,5,1,0,17,11,0,1,0,0
587,.58920002,57048.795377,3,1,1,64,0,1,3,6,1,1,1,8,9,1,1,0,1
589,.588,56938.655234,0,2,1,32,1,1,4,2,4,1,1,17,6,0,0,0,0
592,.70819998,68569.997349,0,2,1,47,1,1,1,7,2,1,1,14,15,0,0,0,0
596,.70819998,68569.997349,2,2,1,48,1,1,4,6,4,1,1,14,3,1,1,0,0
597,.58920002,57048.795377,3,1,1,64,0,1,3,4,4,1,1,12,11,1,1,1,0
598,.94870001,91858.414882,3,2,1,26,1,1,1,5,3,1,0,12,10,0,1,1,1
599,.9181,88903.46647,3,1,1,76,0,1,3,4,5,1,0,17,7,1,1,0,1
600,.56239998,54455.002476,4,2,1,66,1,1,3,4,5,1,1,13,4,1,1,1,1
603,.9795,94843.156105,2,2,1,62,1,1,4,4,4,1,0,16,13,1,1,0,0
604,.70819998,68569.997349,0,2,1,44,1,1,3,3,5,1,0,13,1,0,0,0,0
605,.588,56938.655234,0,2,1,38,1,1,4,5,5,1,1,13,8,0,0,0,0
606,.88599998,85786.287767,1,2,1,43,1,1,3,4,4,1,1,16,12,1,0,0,0
608,1.7792,172275.602142,3,2,1,37,1,1,3,4,5,1,1,16,15,1,1,1,0
609,.93970001,90988.973946,3,2,1,49,1,1,3,4,1,1,0,17,13,1,1,1,0
611,.3788,36681.020796,0,2,1,28,1,1,1,6,4,1,1,12,13,0,0,0,0
613,.33219999,32164.911852,2,2,1,61,1,1,4,6,5,1,1,17,15,0,1,1,0
614,.223,21593.003562,1,2,1,61,1,1,3,4,5,1,0,15,25,0,1,0,0
618,.29890001,28938.44481,0,1,1,42,0,1,2,5,2,1,1,12,25,0,0,0,0
622,.23360001,22621.518424,0,2,1,64,1,1,4,6,4,1,0,12,11,0,0,0,0
624,.3788,36681.020796,3,2,1,28,1,1,1,4,1,1,1,12,8,1,1,0,1
626,.55140001,53388.609022,0,1,1,59,0,1,4,2,5,1,1,12,12,0,0,0,0
627,.50950003,49333.657846,1,1,1,44,0,1,4,6,5,1,1,14,9,0,1,0,0
629,.77710003,75246.436048,3,1,4,49,0,0,4,2,4,1,0,17,1,1,1,1,0
630,.33970001,32889.105231,2,2,1,45,1,1,4,2,3,1,1,16,1,1,1,0,0
632,.44389999,42978.27537,0,1,1,53,0,1,4,7,4,1,1,14,18,0,0,0,0
633,.2357,22818.915283,0,1,1,37,0,1,1,2,3,1,0,16,13,0,0,0,0
636,.34200001,33118.239944,1,2,1,54,1,1,4,4,5,1,0,14,11,0,1,0,0
637,.384,37178.502138,1,2,1,66,1,1,4,1,1,1,0,17,18,1,0,0,0
639,.71509999,69247.31355000001,2,2,1,75,1,1,4,7,4,1,0,6,9,1,1,0,0
640,.71509999,69247.31355000001,1,1,1,87,0,1,4,6,1,1,0,8,1,0,1,0,0
642,.96139997,93087.516613,1,1,1,31,0,1,1,4,3,1,0,13,17,0,1,0,0
643,2.0309999,196659.528423,1,1,1,53,0,1,1,4,3,1,1,14,12,0,1,0,0
644,.71509999,69247.31355000001,1,2,4,77,1,0,4,6,5,1,0,6,12,0,1,0,0
645,1.5010999,145345.949564,2,2,1,72,1,1,4,5,3,1,0,16,16,1,1,0,0
646,2.9809,288633.925096,4,2,1,81,1,1,3,6,5,1,1,11,2,1,1,1,1
648,2.5139,243420.107469,3,1,1,77,0,1,4,7,5,1,1,12,7,1,1,0,1
650,1.4484,140249.755721,1,1,1,46,0,1,1,4,1,1,0,17,16,0,1,0,0
651,2.4054999,232918.373633,2,1,1,37,0,1,1,5,3,1,1,16,7,0,1,0,1
652,.72280002,69983.68283999999,0,2,2,32,1,0,1,4,5,1,0,10,3,0,0,0,0
