ID,SCOTUSApproval,TrumpApproval,KnowChiefJustice,Democrat,GOP,Female,White,Black,Education,Age
993302,1,1,1,0,0,1,1,0,10,81
993303,1,1,1,0,0,0,1,0,15,41
993308,3,1,1,1,0,0,1,0,12,66
993309,2,1,1,1,0,1,0,1,10,56
993310,2,1,0,1,0,0,1,0,9,46
993312,2,1,1,1,0,1,1,0,12,62
993315,2,4,1,0,1,1,1,0,11,44
993316,2,1,1,1,0,0,1,0,15,72
993318,2,3,0,1,0,1,1,0,9,53
993320,3,2,1,0,1,1,1,0,12,39
993325,2,3,0,0,0,1,1,0,10,45
993328,3,4,1,0,0,1,1,0,11,62
993332,3,3,0,0,1,1,1,0,9,36
993333,3,2,0,1,0,1,1,0,10,50
993336,1,1,0,1,0,0,1,0,11,46
993339,3,3,1,1,0,0,1,0,13,42
993340,2,1,1,1,0,0,1,0,14,74
993341,2,1,1,1,0,1,1,0,9,71
993349,4,4,1,0,0,0,1,0,13,77
993350,2,1,1,0,0,1,1,0,9,81
993352,3,1,1,1,0,1,1,0,10,46
993353,2,3,1,0,1,1,1,0,8,70
993356,3,2,1,0,1,1,1,0,10,27
993358,3,1,1,1,0,1,1,0,14,70
993361,2,3,1,0,1,1,1,0,12,81
993362,3,1,1,1,0,1,1,0,11,80
993365,3,4,1,0,0,0,1,0,10,47
993366,2,1,1,0,0,1,1,0,11,53
993369,3,1,1,1,0,0,1,0,13,69
993371,2,1,1,1,0,0,1,0,13,47
993372,3,2,1,0,1,0,1,0,15,43
993786,4,3,1,0,1,1,1,0,13,35
993788,2,1,1,1,0,1,1,0,10,62
993790,3,4,1,0,1,1,1,0,9,78
993794,3,2,1,0,0,0,1,0,9,77
993798,4,1,0,0,0,1,1,0,13,50
993800,3,3,0,0,0,1,1,0,12,53
993804,2,1,0,1,0,1,0,1,9,40
994549,1,1,1,0,0,1,0,1,15,47
994551,2,1,1,0,0,0,0,0,15,74
994553,3,3,1,0,1,1,1,0,10,78
994560,1,1,1,0,0,0,1,0,10,62
994561,3,4,1,0,1,0,1,0,13,65
994562,2,1,1,0,0,0,1,0,12,62
994565,3,1,1,1,0,1,1,0,10,56
994566,2,1,1,1,0,0,1,0,12,45
994569,2,1,1,1,0,1,1,0,12,76
994570,3,4,1,0,1,0,0,0,10,75
994571,1,4,1,0,1,0,1,0,10,82
994587,3,1,1,0,0,1,1,0,12,37
994588,1,4,1,0,1,1,1,0,10,54
994592,3,4,1,0,1,1,1,0,11,65
994593,4,4,1,0,1,1,1,0,13,53
994595,3,1,0,1,0,0,1,0,10,56
994596,2,3,1,0,1,0,1,0,12,61
994597,2,1,1,1,0,0,1,0,13,72
994601,3,1,0,1,0,0,1,0,11,62
994880,3,2,0,1,0,1,1,0,11,44
994889,2,1,0,0,1,1,1,0,12,36
995907,1,1,1,0,0,1,1,0,10,78
995908,2,4,0,0,1,1,1,0,9,71
995913,3,4,1,0,1,1,1,0,11,56
995916,3,4,1,0,1,0,1,0,15,79
995922,3,1,1,1,0,1,1,0,13,74
995923,1,1,1,0,0,1,1,0,10,68
995924,3,3,0,0,0,1,1,0,6,81
995928,3,2,1,0,1,0,1,0,10,84
995929,3,3,0,0,1,0,1,0,10,78
995931,1,2,1,0,0,0,1,0,15,60
995932,3,4,0,0,1,1,1,0,8,65
995936,2,3,1,0,1,0,1,0,12,38
995937,2,1,1,1,0,0,1,0,12,57
995938,3,4,0,0,0,1,1,0,9,61
995939,3,1,1,1,0,1,1,0,10,69
995941,2,1,1,0,0,0,1,0,12,34
995946,3,1,1,1,0,1,1,0,12,52
995951,3,1,1,1,0,0,0,0,10,41
995956,3,3,1,0,1,1,1,0,12,42
995957,2,2,0,0,1,1,1,0,13,50
995963,3,1,1,0,0,0,0,0,13,56
995964,2,1,1,1,0,1,1,0,10,62
996407,3,4,1,0,0,1,1,0,9,54
996409,2,3,1,0,1,0,0,0,10,70
996412,3,1,1,1,0,1,1,0,12,78
996413,3,3,0,0,0,0,1,0,9,74
996418,3,4,1,0,1,0,1,0,11,45
996420,2,2,0,1,0,1,1,0,10,58
996421,3,4,0,0,0,0,1,0,9,50
996422,3,1,0,1,0,0,0,0,13,47
996425,3,3,0,0,1,1,1,0,10,53
996426,2,1,0,1,0,0,0,1,11,37
996434,2,1,1,1,0,0,1,0,13,84
996437,3,1,0,0,0,1,1,0,12,79
996438,3,1,1,0,0,1,1,0,15,69
996442,3,1,1,0,0,0,1,0,13,79
996443,4,1,1,1,0,0,1,0,12,64
996445,2,1,1,1,0,0,1,0,15,72
996448,3,1,0,1,0,1,0,1,10,67
996453,4,1,1,0,1,1,1,0,10,70
996454,3,1,1,1,0,1,1,0,13,68
996457,3,4,1,0,1,0,1,0,12,71
996458,2,1,1,1,0,1,1,0,13,60
996460,2,3,1,0,1,1,1,0,9,60
996461,3,1,1,0,1,0,1,0,13,72
996737,3,2,0,1,0,0,1,0,12,61
996738,3,2,0,0,0,0,1,0,10,70
996741,2,1,1,1,0,1,1,0,10,57
996743,3,4,1,0,1,0,1,0,15,80
996744,3,2,1,0,1,0,1,0,15,69
996746,3,1,1,1,0,1,1,0,14,42
996748,3,1,1,0,1,0,0,0,12,47
996752,3,2,1,0,1,1,1,0,10,70
996758,3,1,1,1,0,0,1,0,12,51
996760,4,3,1,0,1,0,1,0,12,88
996763,3,4,0,0,1,0,1,0,10,63
996957,4,1,1,1,0,0,1,0,12,69
996958,2,4,1,0,1,0,1,0,14,69
996961,2,1,1,1,0,0,1,0,13,67
996962,3,1,1,0,0,0,1,0,14,68
996963,4,2,1,0,1,1,1,0,13,57
996965,3,1,1,1,0,0,1,0,13,70
996971,1,1,1,1,0,1,0,1,13,54
996974,3,3,0,0,1,1,1,0,10,35
996975,2,4,1,0,1,1,1,0,9,70
996976,2,4,1,0,1,0,1,0,10,63
997212,3,2,1,0,1,0,1,0,13,67
997216,2,1,1,1,0,1,1,0,14,66
997217,3,3,0,0,1,0,1,0,10,46
997220,3,4,1,0,0,1,1,0,12,81
997225,3,4,1,0,0,0,1,0,10,69
997228,3,4,1,0,1,0,1,0,9,86
997229,3,3,1,0,1,0,1,0,13,81
997231,3,3,1,0,1,1,1,0,12,45
997235,3,3,1,0,0,1,1,0,10,31
997811,2,1,1,0,0,0,1,0,13,62
997812,3,4,1,0,1,0,1,0,15,48
997813,2,1,1,1,0,1,1,0,12,34
997822,2,1,0,0,0,1,1,0,12,56
997823,3,1,1,1,0,0,1,0,12,75
997827,3,4,1,0,1,1,1,0,12,68
997829,4,1,1,0,0,1,1,0,12,45
997831,2,3,1,0,0,0,1,0,11,72
997833,2,3,0,0,0,1,1,0,9,60
997835,2,2,1,0,0,1,1,0,9,75
997844,2,1,1,0,0,1,1,0,10,64
997851,3,4,1,0,0,0,1,0,13,82
997855,3,1,1,1,0,1,1,0,12,57
997861,3,2,1,0,0,1,1,0,11,67
997864,2,3,1,0,1,0,1,0,10,75
997870,3,1,0,1,0,1,1,0,11,68
997872,2,3,0,0,1,0,1,0,11,46
998051,2,2,1,0,0,1,1,0,9,79
998058,3,3,1,0,0,0,0,0,10,55
998063,3,1,1,1,0,1,1,0,10,85
998064,4,1,1,0,0,1,1,0,12,67
998068,3,3,1,0,1,1,1,0,10,56
998069,1,1,1,0,0,0,1,0,13,67
998070,3,1,1,0,1,1,1,0,15,54
998073,1,1,1,0,0,1,1,0,11,62
998075,2,4,1,0,1,0,1,0,13,64
998076,3,1,1,1,0,1,1,0,11,64
998140,3,1,0,1,0,1,1,0,9,63
998279,3,3,1,1,0,0,0,0,10,29
998284,3,1,1,0,1,1,1,0,12,65
998478,3,3,1,0,1,1,1,0,11,67
998479,3,1,1,1,0,1,1,0,12,71
998481,1,4,1,0,0,1,1,0,10,55
998482,3,1,0,0,0,0,1,0,11,60
999155,3,1,0,1,0,0,1,0,13,81
999158,4,2,1,0,0,0,1,0,12,84
999159,3,2,1,0,0,1,1,0,11,66
999164,3,4,1,0,1,1,1,0,8,70
999172,1,2,1,0,1,1,1,0,10,68
999174,3,1,1,0,1,0,1,0,12,74
999175,3,4,1,0,1,1,1,0,9,52
999178,3,1,1,1,0,1,1,0,10,61
999182,3,4,1,0,1,0,1,0,10,63
999185,3,3,1,0,0,0,1,0,12,55
999477,2,2,0,0,0,1,0,0,15,51
999478,4,1,0,1,0,1,0,1,10,62
999481,3,3,0,0,1,1,1,0,13,64
999486,2,1,1,1,0,1,0,0,15,42
999487,3,1,1,0,0,0,0,1,13,80
999491,3,1,1,1,0,0,1,0,15,73
999493,3,1,1,1,0,1,1,0,10,48
999498,3,4,1,0,1,1,1,0,13,88
999505,3,4,1,0,1,0,1,0,10,73
999790,1,1,0,1,0,0,1,0,13,32
999791,3,1,1,1,0,0,1,0,11,48
999800,3,3,1,0,1,1,1,0,11,37
999803,2,3,1,0,0,0,1,0,12,33
999807,3,1,1,1,0,1,1,0,13,60
999811,3,1,1,0,0,0,1,0,12,73
999814,2,1,1,1,0,1,0,1,12,52
999815,3,3,1,0,1,0,1,0,12,55
999822,3,1,1,0,1,0,1,0,10,24
999824,3,1,0,0,0,0,1,0,9,52
999826,2,2,1,0,1,0,1,0,12,38
999831,2,1,1,1,0,1,1,0,12,53
999833,3,1,1,1,0,1,1,0,12,54
999834,2,1,1,1,0,1,1,0,15,40
999836,2,3,1,0,1,1,1,0,12,38
999839,2,4,1,0,1,0,1,0,10,61
999840,1,1,0,0,0,1,1,0,9,40
999841,1,1,1,0,1,0,1,0,10,33
999842,3,4,1,0,1,1,1,0,12,62
999845,2,1,1,1,0,0,1,0,12,64
1000106,3,3,1,0,1,1,1,0,13,49
1000110,3,4,1,0,1,0,1,0,11,77
1000111,3,4,1,0,1,0,0,0,9,29
1000114,3,1,1,0,0,0,1,0,12,31
1000116,3,1,1,1,0,1,1,0,13,59
1000125,3,3,0,0,1,0,0,0,12,56
1000126,2,1,1,1,0,0,1,0,10,62
1000277,3,1,1,1,0,1,1,0,12,41
1000279,4,1,1,1,0,1,1,0,13,39
1000281,3,4,1,0,0,0,0,0,14,68
1000283,2,1,1,0,0,0,1,0,12,59
1000284,4,1,0,1,0,0,0,0,8,25
1000287,3,1,1,1,0,1,0,1,12,53
1000289,1,4,1,0,1,0,1,0,10,65
1000291,1,3,1,0,0,0,1,0,12,65
1000293,3,1,1,0,0,1,1,0,10,72
1000294,4,4,1,0,1,1,1,0,14,63
1000296,1,3,1,0,1,1,1,0,9,76
1000661,3,4,1,0,1,0,1,0,11,59
1000669,2,1,1,1,0,1,1,0,13,72
1000676,3,2,0,1,0,0,1,0,9,57
1000686,3,1,1,0,0,0,1,0,14,74
1000689,1,1,0,1,0,1,1,0,10,55
1000704,2,3,1,0,1,1,1,0,12,37
1000705,1,4,1,0,1,0,1,0,9,82
1000708,3,1,1,1,0,1,1,0,12,58
1000711,3,1,0,1,0,1,0,1,9,86
1000712,2,1,1,0,0,0,1,0,13,40
1000713,4,1,1,1,0,1,1,0,13,50
1000715,3,1,1,1,0,1,1,0,13,76
1000721,3,1,1,1,0,1,1,0,13,64
1000723,3,4,1,0,1,1,0,0,12,54
1000725,3,2,0,0,0,0,1,0,10,49
1000727,2,3,1,0,1,0,1,0,9,39
1000728,3,1,1,0,0,0,1,0,15,35
1000731,2,4,1,0,1,0,1,0,13,74
1000732,3,1,0,1,0,1,1,0,9,26
1000734,3,1,0,0,0,1,1,0,10,36
1000947,1,1,1,1,0,0,1,0,9,59
1000951,1,1,0,0,0,0,1,0,7,42
1000965,3,2,1,0,1,0,1,0,10,67
1000968,3,2,1,0,0,0,0,0,11,52
1000970,2,1,1,1,0,1,0,1,7,54
1000972,3,1,1,1,0,1,1,0,3,71
1001078,2,1,1,1,0,1,1,0,13,36
1001087,3,1,1,0,0,0,1,0,10,65
1001089,2,1,1,0,0,0,1,0,13,55
1001090,2,1,0,0,0,1,1,0,11,65
1001094,2,1,1,0,0,0,1,0,10,46
1001097,2,1,1,1,0,0,1,0,12,70
1001098,2,4,1,0,1,1,1,0,10,69
1001099,1,1,1,1,0,0,1,0,13,64
1001100,3,3,1,0,1,0,0,0,12,75
1001101,3,4,1,0,1,0,1,0,12,83
1001102,3,4,1,0,1,1,1,0,12,45
1001103,3,1,1,1,0,0,1,0,13,70
1001104,2,2,1,0,0,1,1,0,12,77
1001106,2,1,0,0,0,0,1,0,13,48
1001108,3,1,1,1,0,0,1,0,9,55
1001110,3,2,0,0,1,0,1,0,13,47
1001113,2,1,1,1,0,0,1,0,12,56
1001115,2,1,0,1,0,0,0,0,10,64
1001123,3,4,1,0,0,0,1,0,11,54
1001127,3,4,1,0,1,0,0,0,12,81
1001132,3,4,1,0,0,0,1,0,12,64
1001435,2,4,0,0,1,0,1,0,11,38
1001440,3,1,0,1,0,1,0,1,12,67
1001442,3,2,1,0,0,1,1,0,13,60
1001444,3,1,1,1,0,0,1,1,13,38
1001446,4,1,1,1,0,0,0,1,10,32
1001451,4,1,1,1,0,1,0,1,10,55
1001456,2,3,0,0,0,0,1,0,10,68
1001463,3,3,1,0,1,0,1,0,12,69
1001522,3,1,1,0,0,0,1,0,12,69
1001523,3,3,1,0,1,1,1,0,9,70
1001531,2,1,1,0,0,0,1,0,13,36
1001537,3,1,1,0,0,1,0,0,11,63
1002772,2,1,1,1,0,1,1,0,10,65
1002778,2,1,1,1,0,0,1,0,12,39
1002784,2,1,0,0,0,0,1,0,13,44
1002786,3,1,1,1,0,1,1,0,13,41
1002789,3,4,0,0,0,1,0,0,10,67
1002795,3,3,1,0,1,0,1,0,12,59
1002802,3,2,1,0,0,0,1,0,12,62
1002804,2,1,0,0,0,0,0,0,15,37
1002806,1,2,1,0,1,1,0,1,15,47
1002808,4,1,1,1,0,1,1,0,10,61
1002815,3,1,1,1,0,0,1,0,12,65
1002820,3,1,1,0,0,1,1,0,13,74
1002821,3,1,1,1,0,1,1,0,15,76
1002823,4,4,1,0,1,0,1,0,12,80
1002892,1,1,0,0,0,1,1,0,10,58
1002905,3,1,1,1,0,0,1,0,12,60
1002907,4,2,1,0,0,1,1,0,14,59
1002909,3,4,1,0,1,0,1,0,13,60
1002912,1,1,0,0,0,0,1,0,9,60
1002913,3,4,1,0,1,0,1,0,10,67
1002914,3,4,1,0,1,0,0,0,14,73
1003387,2,1,1,1,0,0,1,0,14,66
1003390,3,1,1,1,0,0,0,1,15,79
1003391,4,2,1,1,0,0,1,0,9,61
1003399,1,1,1,1,0,1,1,0,12,65
1003405,2,1,1,1,0,1,1,0,12,59
1003407,3,3,1,0,1,1,1,0,12,48
1003944,2,1,1,1,0,1,0,1,12,62
1003953,3,1,1,1,0,0,1,0,12,55
1003957,2,3,1,0,0,0,1,0,12,74
1004378,3,1,1,1,0,0,1,0,14,75
1004380,2,1,1,1,0,0,1,0,9,62
1004381,3,3,1,0,1,1,1,0,10,60
1004991,2,4,1,0,1,0,1,0,9,74
1004992,3,1,1,1,0,0,1,0,12,70
1004999,4,4,1,0,1,0,1,0,13,78
1005001,4,4,1,0,0,0,1,0,12,65
1005005,2,1,1,1,0,0,0,0,10,63
1005006,3,4,1,0,0,0,1,0,10,70
1005009,3,3,1,0,1,0,1,0,13,59
1005012,3,3,1,0,1,0,1,0,12,70
1005373,3,3,1,0,1,1,1,0,12,54
1005375,1,2,0,0,0,0,1,0,11,56
1005376,3,2,1,0,0,1,1,0,13,57
1005379,3,2,0,0,0,0,1,0,9,75
1005381,3,1,1,1,0,1,0,1,10,61
1005836,3,3,1,0,0,0,1,0,10,79
1005838,3,1,1,0,0,0,1,0,10,68
1005923,3,3,1,0,1,0,1,0,15,50
1006141,3,3,1,0,0,0,1,0,12,76
1006142,3,3,1,0,0,0,1,0,10,45
1006143,1,1,0,0,0,0,1,0,9,60
1007084,2,1,1,0,0,0,1,0,13,61
1007381,3,4,1,0,0,0,0,0,15,45
1007382,3,3,0,0,0,0,1,0,10,53
1007388,2,2,0,1,0,1,0,0,11,35
1007577,1,1,1,1,0,0,1,0,11,63
1007835,3,3,1,0,1,0,1,0,12,54
1007838,1,1,1,0,0,1,1,0,15,67
1007839,3,1,1,0,0,0,1,0,10,28
1007840,2,4,1,0,1,0,1,0,12,59
1007841,3,3,1,0,0,0,1,0,10,78
1008361,3,3,0,1,0,1,1,0,12,43
1008363,3,1,1,0,0,0,1,0,14,50
1008426,3,1,1,1,0,0,1,0,10,53
1008429,1,4,1,0,1,1,1,0,10,59
1008431,3,4,0,0,1,0,1,0,9,30
1008826,2,1,0,1,0,1,1,0,12,56
1008832,3,1,1,1,0,0,1,0,13,83
1008836,2,1,1,0,0,1,1,0,9,72
1008838,3,3,0,0,1,0,1,0,13,60
1008840,3,3,1,0,1,0,1,0,13,53
1008843,2,1,1,1,0,1,0,0,12,37
1009130,3,1,1,0,0,0,1,0,13,69
1009131,3,4,1,0,1,1,1,0,9,58
1009133,3,4,1,0,1,0,1,0,11,61
1009136,3,4,1,0,1,1,1,0,12,54
1009139,1,1,1,0,0,1,1,0,15,69
1009142,3,3,0,1,0,1,0,0,10,56
1009266,4,1,0,1,0,1,1,0,12,50
1009270,2,4,1,0,1,0,1,0,11,51
1009274,1,1,0,0,0,0,0,0,10,26
1009287,3,1,1,1,0,1,1,0,13,71
1009295,2,2,1,0,1,0,1,0,8,36
1009302,2,1,1,1,0,1,1,0,11,40
1009304,3,1,1,1,0,1,1,0,12,45
1009565,1,4,1,0,0,1,1,0,10,50
1009566,3,1,1,0,0,0,1,0,12,38
1009567,3,1,1,1,0,1,1,0,9,65
1009569,3,1,1,1,0,0,0,0,12,51
1009574,2,1,1,1,0,1,0,1,9,62
1009853,3,1,1,1,0,1,1,0,13,65
1009917,3,4,0,0,1,0,1,0,11,73
1009928,3,1,1,1,0,1,1,0,14,47
1010279,2,1,1,1,0,0,1,0,15,68
1010282,2,1,1,1,0,0,1,0,15,74
1010286,1,3,1,0,0,0,1,0,10,59
1010314,3,3,1,0,0,1,1,0,11,69
1010318,2,1,1,0,0,0,1,0,10,65
1010319,2,3,1,0,1,0,1,0,11,43
1010511,2,1,0,1,0,1,0,1,11,65
1010517,2,2,1,0,0,0,1,0,12,46
1010976,1,2,1,0,1,0,1,0,12,29
1010978,2,2,1,0,1,1,1,0,11,75
1010981,3,1,1,1,0,0,1,0,13,65
1010982,3,3,1,0,0,0,1,0,12,54
1010984,2,1,1,0,0,1,1,0,14,48
1011250,3,1,1,0,0,1,1,0,13,66
1011251,3,1,1,0,1,0,1,0,13,59
1011399,4,2,1,0,0,0,1,0,13,67
1011401,3,4,1,0,1,0,1,0,11,73
1011764,3,1,1,1,0,1,1,0,13,40
1012022,2,4,0,0,1,0,1,0,9,60
1012024,2,1,1,1,0,0,1,0,10,59
1012824,3,1,1,0,0,0,1,0,13,60
1012826,1,4,1,0,0,0,1,0,9,30
1012837,3,1,1,1,0,1,1,0,10,74
1012842,3,1,1,1,0,0,1,0,11,58
1012844,3,1,1,1,0,0,1,0,11,66
1012846,3,3,1,1,0,0,1,0,12,63
1012848,1,1,0,1,0,1,0,1,10,52
1012853,3,4,1,0,1,1,1,0,11,60
1012854,3,2,1,0,1,1,1,0,12,53
1012864,1,3,1,0,1,0,1,0,10,51
1012867,2,1,0,1,0,1,1,0,11,29
1012868,4,1,1,0,0,0,1,0,12,70
1012874,3,3,1,0,1,0,1,0,12,54
1012875,3,3,1,0,1,0,1,0,13,72
1012876,3,4,1,0,1,0,1,0,15,83
1012878,2,1,1,1,0,1,1,0,12,54
