"ID","SexistRemarks","GainPower","HarrisTherm","TrumpTherm","RFemale","RAge","RConservative"
205748,4,1,85,0,1,39,2
205754,4,2,0,100,1,64,7
205760,3,3,50,0,1,36,4
205796,3,3,15,70,1,65,6
205801,3,3,15,85,0,55,6
205820,2,1,85,0,1,76,4
205832,1,1,85,0,1,40,2
205844,1,1,100,0,0,70,2
205885,3,3,0,60,1,22,5
205897,3,3,0,85,1,38,6
205914,1,5,0,100,1,65,6
205926,4,3,0,100,1,70,6
206002,3,4,5,85,0,66,6
206071,2,1,15,30,0,32,4
206209,2,3,0,85,0,39,6
206232,4,3,40,50,1,65,4
206279,3,3,0,70,0,34,6
206291,3,3,100,30,0,70,4
206296,3,3,0,100,0,73,6
206326,4,4,0,85,1,63,6
206338,4,3,0,75,1,44,7
206373,2,2,0,5,1,67,4
206385,4,1,0,70,0,79,6
206403,3,3,85,0,1,71,4
206445,1,1,0,85,0,24,5
206505,3,4,0,85,1,57,7
206557,2,1,85,15,0,70,3
206562,4,3,100,0,1,74,2
206568,2,1,90,0,1,44,4
206574,3,3,50,50,0,47,4
206580,5,5,50,15,0,26,5
206598,3,3,15,70,0,66,5
206616,1,1,60,40,0,56,4
206622,4,3,85,0,1,35,4
206634,3,3,85,0,0,72,3
206717,4,4,0,70,0,68,6
206745,3,3,50,0,1,68,4
206793,3,3,60,0,0,76,5
206822,3,4,0,100,0,48,6
206828,3,3,0,85,0,73,6
206846,3,3,15,100,1,53,6
206852,4,3,0,85,0,80,6
206865,5,4,5,95,0,44,6
206901,4,4,100,60,1,25,3
207003,1,1,100,0,1,27,1
207021,3,5,60,15,1,30,2
207027,1,1,60,15,0,21,4
207033,1,1,85,0,0,30,1
207045,3,3,50,0,0,35,4
207065,3,3,85,15,0,31,4
207077,1,1,60,100,1,34,1
207089,4,1,70,0,0,72,2
207095,3,3,40,60,0,26,4
207100,4,4,85,30,0,65,5
207124,1,1,85,0,1,34,1
207154,3,3,70,0,1,43,6
207160,5,5,15,60,0,32,5
207215,2,1,100,0,1,74,1
207238,3,2,85,30,0,74,4
207244,3,3,100,0,0,76,4
207261,3,3,85,0,1,56,4
207267,4,2,100,0,1,75,4
207290,1,1,80,5,0,26,2
207320,2,1,60,60,0,21,3
207355,4,3,70,0,0,75,4
207361,2,4,60,40,0,31,4
207384,4,3,60,0,0,64,3
207419,3,3,15,85,1,42,4
207448,2,3,85,1,0,25,2
207556,3,3,54,67,0,23,3
207565,3,3,85,0,1,75,2
207583,3,2,100,0,1,63,2
207654,3,1,50,40,1,23,4
207702,3,3,50,20,0,39,3
207720,3,1,85,0,1,56,2
207744,3,3,50,60,1,48,4
207750,1,1,70,0,0,56,1
