WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,weights,BedSize
990648,1,0,0,10,2,1,0,0,0,71,0.17,2
990649,1,0,0,10,9,6,1,1,0,69,0.32,3
990651,1,0,0,10,2,3,1,0,1,58,0.06,3
990653,1,0,0,12,11,5,1,0,0,47,0.8,3
990658,1,0,0,10,4,5,0,0,0,71,0.52,2
990665,1,0,0,10,8,5,1,1,0,52,1.74,3
990666,0,1,0,9,11,8,1,0,1,42,7.38,3
990667,1,0,0,12,11,2,1,0,0,67,1.62,3
990670,0,1,0,13,9,4,1,0,1,41,0.51,3
990673,0,0,1,13,6,8,1,1,0,38,0.19,4
990684,1,0,0,10,6,6,0,1,0,64,0.24,1
990685,1,0,0,13,9,4,1,0,0,44,0.55,3
990687,1,0,0,12,11,5,0,1,0,41,2.69,4
990688,0,0,0,10,3,6,1,0,0,68,0.11,3
990689,1,0,0,13,8,1,0,0,1,68,0.27,3
990690,0,1,0,9,1,1,1,0,1,45,7.38,3
990696,0,1,0,12,6,3,1,0,1,44,0.74,3
990700,1,0,0,11,11,3,0,0,0,65,0.99,4
990703,1,0,0,12,6,6,0,1,0,79,0.13,3
990705,1,0,0,12,10,5,1,1,0,36,0.13,4
990709,0,1,0,10,5,2,1,0,1,32,0.6,2
990711,1,0,0,9,7,4,0,0,1,77,1.82,3
990737,1,0,0,13,1,3,1,0,1,62,0.13,2
990740,1,0,0,13,2,2,1,0,0,75,0.13,3
990767,1,0,0,9,3,4,0,0,0,51,0.49,4
990773,1,0,0,10,4,2,1,0,1,74,0.45,3
990783,1,0,0,10,3,1,1,0,1,84,0.07,2
990784,0,0,1,15,8,2,1,0,1,37,2.37,4
990802,1,0,0,10,5,4,0,0,0,53,2.7,2
990966,1,0,0,13,12,6,0,1,0,59,1.5,4
990970,1,0,0,12,6,3,0,0,0,33,0.94,3
990974,1,0,0,9,6,6,0,0,1,84,1.23,3
990978,1,0,0,9,6,8,1,1,0,81,0.88,4
990981,1,0,0,13,13,5,1,1,0,54,0.36,3
990984,0,1,0,9,1,7,1,0,0,54,7.38,4
990987,1,0,0,13,3,8,1,0,1,63,0.12,3
990992,1,0,0,12,11,5,0,0,1,75,0.13,1
990994,1,0,0,12,10,5,0,0,0,34,1.43,3
990995,1,0,0,9,6,3,1,0,1,39,3.62,3
990997,0,1,0,10,4,3,0,0,1,67,0.46,2
990998,1,0,0,11,7,6,0,1,0,39,1.54,3
991002,1,0,0,12,8,6,0,1,0,56,0.49,3
991004,1,0,0,12,2,7,1,0,0,52,0.06,2
991006,1,0,0,10,2,4,1,0,0,66,0.06,3
991007,0,0,0,9,7,4,0,0,0,47,2.08,3
991008,1,0,0,10,12,2,1,0,1,69,1.18,3
991010,1,0,0,13,8,5,0,1,0,77,0.61,4
991021,1,0,0,13,5,2,1,0,1,61,0.09,3
991022,1,0,0,9,5,6,0,1,0,94,0.67,2
991024,1,0,0,13,9,5,1,1,0,47,0.73,4
991025,1,0,0,10,3,5,1,0,1,59,0.06,2
991027,0,0,0,9,2,8,0,0,0,59,7.38,3
991030,1,0,0,15,13,3,1,0,1,60,1.72,3
991031,1,0,0,9,7,5,0,1,0,51,0.52,3
991037,0,1,0,12,4,3,1,0,1,63,0.06,3
991042,1,0,0,13,7,4,1,0,0,35,0.63,2
991043,1,0,0,15,11,3,0,0,1,29,0.68,2
991047,1,0,0,12,11,4,1,1,0,50,0.36,3
991048,1,0,0,10,3,4,1,0,0,43,0.77,3
991050,1,0,0,12,3,5,1,1,0,34,0.18,2
991053,1,0,0,9,4,7,0,0,1,61,0.43,3
991054,0,1,0,10,1,1,1,0,1,51,0.22,2
991060,1,0,0,15,10,6,0,1,0,43,0.68,3
991061,1,0,0,13,4,1,1,0,0,38,0.57,3
991066,0,0,1,14,8,5,1,0,1,38,1.01,2
991067,1,0,0,12,5,1,0,0,1,29,1.89,3
991068,1,0,0,12,6,2,1,0,0,31,1.17,3
991069,0,0,0,9,5,8,0,0,1,60,2.03,3
991073,1,0,0,11,10,4,0,0,0,41,0.79,3
991081,1,0,0,13,10,2,0,0,0,52,0.17,4
991083,1,0,0,9,10,2,1,0,1,57,0.98,3
991085,1,0,0,15,9,1,0,0,1,69,0.48,3
991086,1,0,0,9,7,7,0,1,0,43,2.06,1
991087,1,0,0,12,12,3,0,0,1,36,1.77,4
991090,1,0,0,12,4,2,1,0,1,51,0.1,3
991091,1,0,0,13,11,3,1,0,0,64,0.34,3
991093,1,0,0,11,5,6,0,1,0,63,0.31,3
991094,1,0,0,14,9,4,1,1,0,59,0.43,4
991095,1,0,0,12,4,6,1,0,0,61,0.29,2
991097,1,0,0,10,6,7,0,1,0,69,0.13,4
991098,1,0,0,12,11,6,1,1,0,44,0.81,3
991099,1,0,0,12,2,3,1,0,1,50,0.13,3
991102,1,0,0,12,8,2,1,0,1,70,0.18,3
