WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,StealShampoo,weights
990640,1,0,0,13,9,5,0,0,0,76,1,2.54
990641,1,0,0,13,1,2,1,0,0,51,1,0.15
990642,0,0,1,14,13,2,1,0,0,73,1,1.56
990644,0,1,0,11,12,3,0,0,1,36,1,2.29
990648,1,0,0,10,2,1,0,0,0,54,1,0.17
990649,1,0,0,10,9,6,1,1,0,59,0,0.32
990651,1,0,0,10,2,3,1,0,1,84,1,0.06
990653,1,0,0,12,11,5,1,0,0,80,1,0.8
990658,1,0,0,10,4,5,0,0,0,37,1,0.52
990664,0,0,0,12,6,8,1,0,0,63,0,0.7
990665,1,0,0,10,8,5,1,1,0,75,1,1.74
990666,0,1,0,9,11,8,1,0,1,62,1,7.38
990667,1,0,0,12,11,2,1,0,0,34,1,1.62
990670,0,1,0,13,9,4,1,0,1,39,1,0.51
990673,0,0,1,13,6,8,1,1,0,67,1,0.19
990684,1,0,0,10,6,6,0,1,0,56,1,0.24
990685,1,0,0,13,9,4,1,0,0,52,1,0.55
990687,1,0,0,12,11,5,0,1,0,67,1,2.69
990688,0,0,0,10,3,6,1,0,0,46,0,0.11
990689,1,0,0,13,8,1,0,0,1,69,0,0.27
990690,0,1,0,9,1,1,1,0,1,76,0,7.38
990696,0,1,0,12,6,3,1,0,1,61,1,0.74
990700,1,0,0,11,11,3,0,0,0,95,1,0.99
990703,1,0,0,12,6,6,0,1,0,48,1,0.13
990705,1,0,0,12,10,5,1,1,0,59,0,0.13
990709,0,1,0,10,5,2,1,0,1,60,1,0.6
990711,1,0,0,9,7,4,0,0,1,63,1,1.82
990737,1,0,0,13,1,3,1,0,1,52,1,0.13
990740,1,0,0,13,2,2,1,0,0,50,0,0.13
990767,1,0,0,9,3,4,0,0,0,64,1,0.49
990773,1,0,0,10,4,2,1,0,1,35,1,0.45
990783,1,0,0,10,3,1,1,0,1,30,0,0.07
990784,0,0,1,15,8,2,1,0,1,51,1,2.37
990802,1,0,0,10,5,4,0,0,0,61,1,2.7
990966,1,0,0,13,12,6,0,1,0,51,0,1.5
990970,1,0,0,12,6,3,0,0,0,38,1,0.94
990974,1,0,0,9,6,6,0,0,1,38,1,1.23
990978,1,0,0,9,6,8,1,1,0,30,1,0.88
990981,1,0,0,13,13,5,1,1,0,31,1,0.36
990984,0,1,0,9,1,7,1,0,0,41,0,7.38
990987,1,0,0,13,3,8,1,0,1,57,1,0.12
990992,1,0,0,12,11,5,0,0,1,43,1,0.13
990993,1,0,0,13,8,2,1,0,1,35,1,0.48
990994,1,0,0,12,10,5,0,0,0,52,1,1.43
990995,1,0,0,9,6,3,1,0,1,65,1,3.62
990997,0,1,0,10,4,3,0,0,1,63,1,0.46
990998,1,0,0,11,7,6,0,1,0,59,0,1.54
991002,1,0,0,12,8,6,0,1,0,61,1,0.49
991004,1,0,0,12,2,7,1,0,0,69,1,0.06
991006,1,0,0,10,2,4,1,0,0,44,1,0.06
991007,0,0,0,9,7,4,0,0,0,50,1,2.08
991008,1,0,0,10,12,2,1,0,1,70,1,1.18
991010,1,0,0,13,8,5,0,1,0,72,1,0.61
991021,1,0,0,13,5,2,1,0,1,40,1,0.09
991022,1,0,0,9,5,6,0,1,0,64,0,0.67
991024,1,0,0,13,9,5,1,1,0,66,1,0.73
991025,1,0,0,10,3,5,1,0,1,27,1,0.06
991027,0,0,0,9,2,8,0,0,0,72,0,7.38
991029,1,0,0,11,6,8,0,1,0,25,1,0.34
991030,1,0,0,15,13,3,1,0,1,70,1,1.72
991031,1,0,0,9,7,5,0,1,0,91,1,0.52
991037,0,1,0,12,4,3,1,0,1,50,1,0.06
991042,1,0,0,13,7,4,1,0,0,59,1,0.63
991043,1,0,0,15,11,3,0,0,1,43,1,0.68
991047,1,0,0,12,11,4,1,1,0,41,1,0.36
991048,1,0,0,10,3,4,1,0,0,38,1,0.77
991053,1,0,0,9,4,7,0,0,1,52,0,0.43
991054,0,1,0,10,1,1,1,0,1,29,0,0.22
991060,1,0,0,15,10,6,0,1,0,60,1,0.68
991061,1,0,0,13,4,1,1,0,0,43,0,0.57
991066,0,0,1,14,8,5,1,0,1,68,0,1.01
991067,1,0,0,12,5,1,0,0,1,85,1,1.89
991068,1,0,0,12,6,2,1,0,0,55,1,1.17
991069,0,0,0,9,5,8,0,0,1,59,0,2.03
991073,1,0,0,11,10,4,0,0,0,47,1,0.79
991081,1,0,0,13,10,2,0,0,0,71,1,0.17
991083,1,0,0,9,10,2,1,0,1,54,1,0.98
991085,1,0,0,15,9,1,0,0,1,69,1,0.48
991086,1,0,0,9,7,7,0,1,0,36,0,2.06
991087,1,0,0,12,12,3,0,0,1,58,1,1.77
991090,1,0,0,12,4,2,1,0,1,55,1,0.1
991091,1,0,0,13,11,3,1,0,0,62,1,0.34
991093,1,0,0,11,5,6,0,1,0,58,1,0.31
991094,1,0,0,14,9,4,1,1,0,41,1,0.43
991095,1,0,0,12,4,6,1,0,0,30,1,0.29
991097,1,0,0,10,6,7,0,1,0,69,1,0.13
991098,1,0,0,12,11,6,1,1,0,78,1,0.81
991099,1,0,0,12,2,3,1,0,1,43,1,0.13
991102,1,0,0,12,8,2,1,0,1,23,1,0.18
991106,0,0,0,12,4,4,0,1,0,54,1,0.08
991110,1,0,0,6,2,6,1,0,0,82,1,7.38
991113,0,0,0,13,7,6,0,0,0,84,0,1.71
991117,1,0,0,15,5,2,0,0,1,41,1,0.25
991120,1,0,0,13,12,2,1,0,1,65,1,1.37
991121,1,0,0,14,10,4,0,0,1,56,1,0.26
991123,1,0,0,12,4,6,0,0,0,62,1,0.58
991124,1,0,0,12,3,6,0,0,0,43,1,0.33
991125,1,0,0,12,4,4,1,0,1,71,1,0.67
991127,1,0,0,11,2,7,0,0,0,39,1,0.12
991131,0,0,1,9,8,5,0,0,0,45,1,1.72
991132,0,1,0,10,3,2,1,0,1,61,1,0.56
991136,0,1,0,14,13,4,0,0,0,45,1,1.48
991450,1,0,0,12,9,3,1,0,0,42,1,0.19
991453,1,0,0,12,10,6,0,0,0,73,1,0.31
991454,1,0,0,13,8,4,0,0,0,70,1,0.37
991461,0,1,0,13,10,2,1,0,1,45,0,1.97
991464,1,0,0,13,12,1,0,0,1,81,1,2.83
991467,1,0,0,12,6,2,1,1,0,70,1,0.36
991469,0,0,0,10,3,4,1,0,1,26,0,7.38
991472,1,0,0,13,10,2,1,0,1,80,1,0.73
991477,0,0,1,15,14,4,0,0,1,45,1,2.9
991485,1,0,0,12,12,7,0,1,0,58,1,1.27
991488,0,1,0,10,2,4,0,0,1,80,1,3.82
991492,1,0,0,13,9,6,1,1,0,52,1,0.06
991494,1,0,0,13,12,1,1,0,1,69,1,0.95
991497,1,0,0,12,8,2,0,0,1,46,1,0.25
991500,1,0,0,12,10,4,1,0,1,26,0,0.26
991501,0,1,0,11,9,4,0,0,1,44,1,0.54
991506,1,0,0,9,5,6,0,1,0,34,1,0.83
991507,1,0,0,12,5,6,0,1,0,36,0,0.15
991624,0,0,0,10,3,2,0,0,1,61,0,3.24
991625,1,0,0,9,3,4,1,0,0,78,1,0.25
991628,1,0,0,9,1,8,1,0,1,77,0,1.17
991629,1,0,0,12,7,2,0,0,1,50,1,0.31
991630,1,0,0,9,1,1,1,0,1,52,1,5.9
991632,1,0,0,14,7,2,0,0,1,86,0,1.7
991633,1,0,0,12,8,6,0,0,1,46,1,0.58
991638,0,1,0,12,10,3,1,0,1,77,1,0.7
991828,0,1,0,12,5,4,1,0,0,65,1,0.19
991830,1,0,0,12,12,2,0,0,1,61,1,0.48
991833,1,0,0,15,11,2,1,0,1,56,1,3.42
